CSD ID, lambda_force (eV), lambda_4p (eV)
UDUMEO,0.04601,0.08872
HETKOJ,0.07559,0.08907
WORPAX,0.05721,0.08936
TURWIP,0.07157,0.08955
NIZFEK,0.09268,0.08956
WOFSIW,0.08979,0.08983
ZUJCEP,0.08822,0.08986
FOPHOK,0.05197,0.09005
SUJHAI,0.04706,0.09009
WURDEV,0.08988,0.09019
KUXDIR,0.08853,0.09025
XIYFIX,0.05907,0.0903
QUWFUM,0.06381,0.09044
RODMEF,0.09064,0.0911
MESTOW,0.08684,0.09181
KUQLIU,0.09482,0.093
WUVTIS,0.05745,0.09368
FOYGEI,0.07452,0.09375
KUVJOD,0.09,0.09386
GOMWIR,0.09024,0.09396
CARYAX,0.08991,0.09411
RUQZEL,0.09902,0.09441
RADTUP,0.09502,0.09472
CITDAN,0.09766,0.09493
HUJHAX01,0.05409,0.09507
FITCET,0.05638,0.09538
YAQWUL,0.07736,0.09555
TARVIU,0.09876,0.09561
BOPSEF,0.09272,0.09592
GEGMUD,0.09113,0.09612
HETKUP,0.08214,0.09624
FOYXAV,0.08505,0.09731
YADWAC,0.09797,0.09758
JOLLEE,0.05298,0.09768
LENQUS,0.08431,0.09775
JOLLII,0.05564,0.09835
ZUWFIJ,0.06511,0.09846
YEWKET,0.07918,0.09874
DOMZIO,0.0944,0.09883
AJORAV,0.09743,0.09904
QIJFUN,0.0538,0.09937
SURLID,0.08627,0.09994
CITCOA,0.07964,0.10039
HUZJEU,0.05905,0.10073
XUKLUM,0.05354,0.10074
HEZDIC,0.06674,0.10087
XIYFAP,0.05068,0.10119
HICLUD,0.09329,0.10163
GOMWOX,0.10068,0.10185
GUBDAK,0.10016,0.10213
TUTWAJ,0.0626,0.10227
WALYUG,0.08434,0.10258
VIFZIU,0.08311,0.10331
JAKDIL,0.09642,0.1037
DACDUJ,0.0777,0.10402
NELCUD,0.094,0.10402
FOVQEN,0.09916,0.10453
FITCIX,0.05166,0.10461
SUVVUD,0.07013,0.10466
