CSD ID, lambda_force (eV)
DONBEP,1.48688
DONBIT,0.67108
DONBOZ,0.58941
DONBUF,0.39491
DONYAJ,0.32518
DOPWEM,0.97078
DOWCIC,0.81625
DOWSIU,0.29422
DPBUTR10,0.34844
DPHOCE,0.39157
DPINOL,0.41527
DSPPVB,0.1857
DUCDAI,0.40875
DUCLAQ,0.17314
DUFYIN,0.28285
DUHLAV,0.19993
DUHLID,0.14587
DULKOL,0.1274
DUMFOJ,0.36833
DUMFUP,0.30993
DUMGAW,0.36668
DUMGEA,0.33838
DUMGIE,0.31034
DUMHUR,0.17213
DUMPIN,0.39361
DUNKUV,0.33044
DUPBEY,0.21137
DUPRIP,0.50668
DUPROV02,0.3255
DUXLAM,0.28865
EBECOF,0.21467
EBEVOY,0.29521
EBEXUH,0.34816
EBOBON,0.38595
EBOREV,0.39407
EBOTAT,0.49932
ECAPUW,0.37248
ECIMAG,0.23816
ECIMEK,0.1508
ECOJUC,0.44535
EDAXEM,0.26809
EDOVUP,1.00348
EDOWAW,1.14821
EFAVOW,0.25486
EFIZEA,0.3624
EFUKAU,0.21635
EFUPEC,0.73567
EGALEE,0.43025
EGEXAR,0.35524
EGEXIZ,0.36772
EGIWOJ,0.1351
EGIZUP,0.31205
EGOVIF,0.32616
EGUQAZ,0.40115
EGUQED,0.30675
EJOBEL,0.69513
ELAYEX,0.94678
ELAYOH,0.95472
ELAZAU,0.93124
ELAZEY,0.94467
ELAZOI,0.95629
ELODAM,0.50347
ENIZEG,0.15864
ENOWEK,0.58901
EPANEQ02,0.23942
EPEWIH,0.1384
EPOCAP,0.35111
EPOFAS,0.31593
EPOHEY,0.74985
EQARUL,0.41932
EQASAS,0.41216
EQEPOG,0.25218
EROKAY,0.32908
ESIVOR01,0.25431
ESIWAE02,0.26912
ESIWUY,0.25983
ETGLAU01,0.2337
ETIHAQ,0.44756
EVAZAC,0.35692
EVOFEC,0.22874
EWEWAG,0.26493
EYILIJ,0.24869
EZAFOC,0.14602
EZAFUI,0.13397
EZAGET,0.12889
FAGQEM,0.17578
FAKBAU,0.11745
FAMWAR,0.22051
FAMXIC,0.61061
FANWIA10,0.3044
FAPXUS,0.37552
FARMIX,0.40954
FATBUZ,0.25817
FAXTUW,0.51113
FAYVEI,0.3591
FEBDOI,0.48525
FEBDUO,0.31746
FECHOM,1.15982
FEFJUY,0.3584
FEFKAF,0.35724
FEFQEN,0.5692
FEJGUW,0.38457
FELHOW,0.35038
FENSUO,0.28795
FEPYOR,0.5715
FEPYUX,0.59351
FEPZOS,0.63192
FEVGEU,0.34379
FEVGIY,0.81145
FEWKID,0.23704
FEYVIQ,0.23568
FIJRUO,0.25348
FIMSIE,0.20081
FIMTEB,0.29918
FIMWOO,0.34507
FIRQAB,0.28446
FIVSAG,0.15775
FIVVAK,0.29765
FIYTOX,0.46181
FIYVIT,1.09193
FOBHOV,0.56091
FOFDEM,0.28281
FOGQUO,0.3048
FOHGER,0.31182
FOJGAO,0.38066
FOJTUU,0.32121
FOJVAC,0.34067
FOMGEU,0.37514
FOMJEX,0.08564
FONSUY,0.51163
FONWUC,0.35862
FONYUE,0.55596
FOYCEC,0.28933
FOYNEO,0.33223
FREELG,0.34209
FUBWAA,0.16523
FUBXIK,0.22944
FUCTUS,0.72596
FUDJOF,0.30691
FUGXOX,0.3729
FUGYAH01,0.29877
FULVIT,0.33884
FUNPIQ,0.24305
FURBOM,0.17402
FURGOR,0.16061
FUTJAG,0.3488
FUXVIE,0.35077
FUXVOK,0.32395
FUXWAX,0.39316
FUXWEB,0.36117
GACHEA,0.32502
GAFDEY,0.26736
GAFDUO,0.40552
GAFFEA,0.35776
GAFFUQ,0.37862
GAGRAK,1.14263
GAKZAU,0.35457
GALZEB,0.73687
GASFOY,0.31045
GASFUE,0.33585
GASWIH,0.56278
GATXEH,0.70477
GAWFIU,0.32971
GAXMIE,0.46375
GEBLIK,0.26507
GEBLOQ,0.24231
GECQOX,0.38971
GEDROZ,0.23159
GEDSAM,0.23296
GEFHUX,0.22854
GEGJOT,0.25772
GEGRER,0.34447
GEJXUP,0.72963
GEKPIW,0.20497
GENRIB,0.28988
GEVLIE,1.22988
GEZCAP,0.20441
GIDWUO,0.38909
GIDXID,0.46077
GIDYEA,0.4074
GIFSIX,0.36564
GIHQUM,0.30474
GIJCEK,0.3048
GIJRIC,0.33652
GILYAC01,0.33667
GIMQAV,0.24727
GIMQEZ,0.2128
GIPFIX,0.39732
GIQYUA,0.41083
GIQZOW,0.32529
GIQZUC,0.32602
GIRMIG,0.27513
GISTIN,0.24125
GITHAT,0.13515
GIYKEF,0.37414
GIYPOW,0.23878
GIYQAJ,0.25012
GODQUN,0.1896
GODWUR,0.28725
GOFWIJ,0.32302
GOMVUC,0.17748
GOQVAL,0.34429
GORWOZ,0.50583
GORWUH,0.10167
GORXES,0.1614
GOTYOG,0.26149
GOYTUM,0.24896
GOZHOS,0.36886
GUBCAJ,0.09748
GUBCIR,0.15485
GUBCOX,0.15259
GUBDAK,0.10016
GUCQEC,0.16626
GUCWEG,1.46069
GUCWOQ,1.66604
GUDCAM,0.16445
GUFGOG,0.67119
GUKKAB,0.10322
GUKKEF,0.10164
GUPCEB,0.35974
GUPCIF,0.97004
GURQAM,0.36763
GURQEQ,0.32868
GURYUQ,0.47339
GUTZIG,0.75184
GUVBIK,0.38377
GUYDEM,0.31309
GUYDIQ,0.47377
GUYDOW,0.32188
GUZHUG,0.25362
GUZJAO,0.22325
GUZJES,0.26876
HABWOX,0.27454
HAFVIV01,0.76544
HAJYUO,0.25981
HAKDII,0.25932
HAKXIC,0.25305
HARHIT,0.12372
HAXMAX,0.44022
HAXNOK,0.12257
HAZPEG,0.41213
HCAROT,0.36265
HEBRIQ,0.18796
HEBROW,0.18242
HECFAX,0.67172
HEFDOO,0.24869
HEGDON,0.27111
HEHYEA,0.29122
HEJCUW,0.30122
HEJDEH,0.26219
HEJDOR,0.31645
HEPHUG,0.1239
HEPJAO01,0.19745
HEPJIW,0.55859
HEPJOC01,0.29451
HEPJUI,0.29247
HEPKAP,0.48727
HEQFUE,0.19689
HESJAT,0.08836
HESKIA,0.19282
HESNAU,0.41672
HESNEY,0.38851
HESNIC,0.30055
HESNOI,0.27421
HESNUR,0.32548
HEWHEY,0.48071
HEYSOW,0.27341
HEZXUI,0.26686
HIBVEU,0.378
HIFHUB,0.21062
HIJDEK,1.30915
HIJHIR,0.48048
HIMPEB,0.56727
HINYAH,0.241
HITVIQ,0.16355
HITVOW,0.3576
HITVUC,0.44472
HIVMOR,0.10884
HIVMUX,0.10726
HIVROW,0.40093
HIWGOL,0.15378
HIWVAN,0.38051
HODROI,0.37007
HODTIG,0.4337
HODWIJ,0.25898
HODWOP,0.20249
HOHVUV,0.21422
HOHYOV,0.11999
HOJFAQ,0.20287
HOMLUT,0.23852
HOMMAA,0.26904
HORJII,0.37031
HOSVET,0.22742
HOSVIX,0.30119
HOSVUJ,0.27456
HOXNEP01,0.43482
HOXPUI,0.31921
HOYMEN,0.4485
HOYYAW,0.354
HOYYEA,0.33895
HOZQAQ,0.46916
HOZQIY,0.38278
HOZXIG,0.1082
HRETGL,0.46204
HUBSEE,0.42258
HUCVIM,0.06705
HUCVOS,0.08611
HUCVUY,0.06228
HUCYIO,0.35301
HUCYOU,1.61892
HUCYUC,0.17172
HUHDOE,0.31749
HUHYUE,0.27534
HUMFUR,0.90129
HUMLUZ,0.22702
HUMZUK,0.72236
HUSQAP,0.25049
HUSZAY,0.22834
HUXLES,0.96432
HUYGIT,0.75325
HUZTEB,0.36307
HXOPHM10,0.46776
IBEBAV,0.19922
IBEVUJ,0.2316
IBEZUN,0.3136
IBIBAZ,0.29467
IBUPUQ,0.16505
IBUYOU,0.33801
ICAPOR06,0.29543
ICESIU,0.32031
ICESOA,0.41513
ICUQEF,0.27144
IDBANT,0.20702
IDIBII,0.19154
IDIBOO,0.39154
IDOFEO01,0.42431
IFUCAO,0.13089
IGEFUX,0.20678
IGOCEO,0.29306
IGOLIZ,1.02466
IGUTIO,0.06106
IGUTOU,0.06314
IHOYUC,0.25068
IHUTUC,0.72959
IHUVAK,0.57216
IJEFIO,0.37012
IJIHIT,0.39791
IJOFAO,0.31378
IKAJOU,0.34285
IKIFIT,0.31976
IKIFOZ,0.31229
IKIFUF,0.30666
IKINAT,0.38036
IKINEX,0.35896
ILOCUH,0.3166
INACEG,0.27434
INOLON,0.73872
INOMOO,0.781
INUSIU,0.21749
IPASOI,0.17506
IPEHAN,0.23195
IPEHER,0.24478
IPEHIV,0.24401
IPEHOB,0.23143
IPUTUK,0.03228
IPUVAS,0.03847
IQEWOS,0.37731
IQEWUY,0.27669
IROHUU,0.74768
IRUJUC,0.20693
ISEHEV,0.17081
ISEZIP,1.04357
ISEZOV,0.82606
ISEZUB,1.33254
ISIBAN,1.53829
IVUKEQ,0.26811
IWEROT,0.27252
IWESAG,0.31646
IXEWOZ,0.36939
IXUTAX,0.11365
IXUTEB,0.10988
IXUTIF,0.13833
IYEJIF06,0.18787
IYEJOL,0.18753
IYEJUR,0.18683
IYIGII,0.20151
IZOCIK,0.36081
JACSUC,0.15208
JACTAJ,0.16067
JACVOY,0.24502
JAHBEA,0.73458
JALXOK,0.19528
JALXUQ,0.18918
JALYAX,0.18624
JALYIF,0.19117
JAPXOQ,0.21342
JAYVIP,0.43052
JAZCAR,0.26061
JAZSUZ,0.32374
JAZTAG,0.30901
JEDJIO,0.24109
JETFOE,0.12944
JETGAR,0.12077
JETGEV,0.14523
JEXMIJ,0.2762
JIRZEQ,0.52061
JISPUW,0.68522
JIZRUI,0.07253
JOCJUJ,0.37024
JOFHOD,0.44411
JOFTON,0.10721
JOGHOD,0.86293
JOQZIA,0.26529
JUBPIH,0.41877
JUBTEH,0.48031
JUBTIL,0.49116
JUCNEC,0.3151
JUDFIX,2.54929
JUDGAQ,1.02604
JUDGEU,0.5414
JUDQII,0.84524
JULPAK,0.56591
JUQNUH,0.23145
KAFQIR,0.28631
KAMPIA,0.31841
KANWEB,0.2416
KAQFUF,0.12597
KAQYUY,0.15707
KARSOM,0.35274
KARWUX,0.12232
KARXAE,0.16437
KASDOY,0.33411
KASLUL,0.26225
KASMAS,0.25674
KASNID,1.17222
KASZAF01,0.34255
KAZWOY,0.38644
KECDEC,0.32839
KEHCUV,0.36348
KEKCOT,0.84417
KELMOE,1.09366
KEQNOM,0.09351
KETPOR,0.27583
KEYREM,1.07667
KEYYEV,0.27929
KEZTOZ,0.72599
KIDDAE,0.55617
KIDLAM,0.14415
KIKKIB,0.1094
KILNIF,0.48049
KILXUB,0.13212
KIPFAQ,1.11055
KIRTEM,0.39109
KIWNOV,0.19796
KIXMOU,0.39184
KIXWAS,0.66893
KIXYEY,0.3776
KIXYIC,0.60801
KIXZID,0.21406
KIZGUV,0.67806
KOBSUP,0.24704
KODNOG,0.17079
KOFMAU,0.11522
KOFZOX,0.14514
KOKMUT,0.23232
KOTPOA,0.39211
KOVCEG,0.24556
KOVDIL,0.60337
KOXFIP,0.14437
KOXJEO,0.20655
KOXJIS,0.24428
KOZHEO,0.16183
KUBLOL,0.51102
KUDDIZ,0.53502
KUGLED,0.43996
KUGYUI,0.33213
KUGZET,0.38832
KUJSUF,0.16775
KUKDAX,0.50664
KUKKAF,0.25426
KUKKEJ,1.02766
KULNOX,0.0539
KULNUD,0.05403
KUNSIX,0.35559
KUTHOZ,0.17078
KUVCUA,0.17846
KUXDIR,0.08853
KUXDUD,0.11906
KUXJOC,0.13552
KUYCOY,0.62797
KUYHOD,0.55113
LABMEJ,0.74616
LAGPOZ,0.74185
LAHCED,0.12153
LAHGUW,0.35895
LAJNOC,0.51172
LANHIR,0.74324
LAPHEQ,0.36198
LEFYAZ,0.04889
LEJNIZ,0.67226
LELBUC,0.75055
LELDIR,0.38788
LEMZAH,0.27593
LEPREE,0.35132
LETGUP,0.26386
