CSD ID, lambda_force (eV)
QUATER10,0.20104
QUBTIS,0.40703
QUFFUS,0.09177
QUJMOZ,0.13769
QUKWID,0.34133
QUMSID,0.27801
QURREB,0.26059
QUSCAL,0.19983
QUSZEK,0.33539
RADTUP,0.09502
RADVEB,0.4826
RAFHUD,0.06273
RAFJAL,0.08285
RAGQOH,0.17506
RAJGOZ,1.17556
RAJGUF,1.30152
RAKVEH,0.16177
RASFAV,0.26859
RASZAP,0.40686
RATXUG,0.68513
RATYUJ,0.22504
RATZAQ,0.18973
RAYWET,0.28439
RAZKUA,0.22954
REBBOR,0.28709
REBTIE,0.22253
REFJOD,0.44531
REFKUI,0.31117
REFPUP,0.41139
REFTIH,0.14216
REHYAH,0.19875
REMZIS,0.29574
REMZOY,0.31748
RENBIX,0.10483
RENHEA,0.28121
RENHIE,0.1778
RENPIJ,0.23973
REPBIA,0.38347
REPBOG,0.2775
REZLOA,0.24367
RIBSEC,0.3011
RIBTAY,0.4071
RICYOR,0.26549
RINYUJ,0.34332
RIWBEF,0.43804
RIWTIA,0.1238
RIXWON,0.20821
RIYDEL,0.31285
RIYDIP,0.3082
RIYDUB,0.30697
RIYFAJ,0.31351
RIZKIX,0.30621
ROGFUP,0.11497
ROGMOR,0.70556
ROJCIF,0.39385
ROJCUR,0.39807
ROKHOR,0.3698
RONSAR,0.12493
ROPROG,0.21545
ROPRUM,0.25612
ROPSAT,0.24164
ROPSIB,0.38615
ROXYEK,0.19581
ROXYIO,0.22417
ROXYOU,0.11521
ROYJEW,0.2754
ROZXIQ,0.35102
RUHFOP,0.15822
RUHVEY,0.25858
RUHVIC,0.27869
RUHVOI,0.25826
RUPTIH,0.1302
RUQYEK,0.0688
RUQZEL,0.09902
SABZAX,0.85315
SAFLER,0.2589
SAFYUW,0.35802
SAFZAD,0.35866
SAGBOT,0.18667
SAGMEV,0.35405
SAGMIZ,0.35693
SAHWIK,0.21236
SALJOH,0.50598
SAMGOC,0.22512
SANJAU,0.28485
SANJIC,0.40956
SANTOS,0.16767
SARDOG,0.29554
SARRIN,0.79187
SARROT,0.30129
SASMEH,0.7363
SAWPAJ,0.34405
SAXLOS,0.35913
SEBJUF,0.1573
SECMAR,0.23648
SEFFIU,0.33084
SEFFOA,0.33233
SEFPOL,0.22722
SEFPUR,0.48318
SEGTAC,0.02684
SEHKUO,0.52769
SEKHUO,0.26715
SELRIM,0.16234
SEPJAB01,0.24074
SEPJEF01,0.26162
SEQDUN,0.31539
SERDAW,0.34793
SERQUD,0.29616
SESVES,0.30968
SEWGAD,0.36689
SEWKAI,0.61908
SEWTEV,0.2186
SEYSIZ,0.25856
SEZDEH,0.39648
SEZGOV,0.05519
SICMOI,0.39229
SICTEF,0.2232
SIDRUV,0.53261
SIFLUQ,0.25878
SIFSUY,0.52936
SIPQUE,0.55453
SIPRAL,0.44276
SIPREP,0.51335
SIQQAN,0.19632
SIQQER,0.17666
SIRPUG,0.18177
SIRRUJ,0.22445
SIRSET,0.59149
SISCAY,0.29785
SIXQIB,0.27951
SIYJEP,0.25191
SODFEY,0.46911
SOHPIO,0.3354
SOHWOB,0.18092
SOKYID,0.29743
SOLSIX,0.38309
SOMXOJ,0.75626
SOPTOI,0.31854
SOTCEJ,1.27665
STYTOP10,0.41778
SUDSOC,0.46198
SUDSUI,0.41408
SUDTAP,0.42211
SUDTIW,0.12404
SUDVUK,5.30087
SUDWAR,1.52349
SUDWIZ,4.53601
SUDXOG,0.12395
SUDXUM,0.12473
SUFWIC,0.3588
SUFWOI,0.35498
SUFWUO,0.33757
SUGSIZ,0.12175
SUGWAV,0.2233
SUHGUZ,0.42585
SUJFUB,0.74836
SUKNAO,0.35326
SULQUM,0.27467
SUPHET,0.87388
SUPHIX,0.77541
SUPMIC,0.32385
SUPZUB,0.12361
SURREE,0.05734
SUTHAT,0.03349
SUTYIR,0.28614
SUVJUR,0.13337
SUXMEF,0.47146
SUZHUS,0.27114
SUZJAA,0.34458
SUZJEE,0.25868
SUZJII,0.29593
SUZJUU,0.28882
SUZKAB,0.25407
SUZQIP,0.32669
SUZRIQ,0.31531
TAGZEH,0.2385
TAHBUZ,0.38647
TAJWIM,0.28945
TAJWOS,0.29207
TALPII,0.34252
TAMSAB,0.17331
TANMUT,0.57746
TAPFEV,0.28739
TARVAM,0.08775
TARVIU,0.09876
TAWQAL,0.5326
TAYGEG,0.22847
TCQNMP10,0.22072
TDTHTR,0.3549
TEHKEY,0.7491
TELRAG02,0.40768
TENMAC,0.18019
TENMIK01,0.25408
TEQSOZ,0.29145
TEQSUF,0.27383
TERFUR,0.85251
TERHEG,0.19595
TEZPIY,0.24549
THVINB10,0.6221
TICTIK,0.59843
TIDCUE,0.48762
TIDGUJ,0.65762
TIJZOD,0.25579
TIKFIE,0.23427
TINSEQ,0.32963
TIPQOA,0.37346
TIPQUG,0.33147
TIPRAN,0.37441
TIQFOO,0.22214
TIVZED,0.21624
TOHFEE,0.14881
TOHFOO,0.12305
TOHHOQ,0.22334
TOJCUT,0.34139
TOJDEE,0.31547
TOJDII,0.33652
TORVAA,0.33881
TOTDUD,0.46797
TOWSOP,0.36649
TOXQOP,0.48647
TUBBAW,0.56891
TUDHAE,0.3497
TUFYIF,0.21636
TUJNET,0.40632
TUJVAY,0.27658
TUKTEY,0.33954
TUKTIC,0.3404
TULYEG,0.19284
TUPMEY,0.38363
TUPMIC,0.40778
TUPPIF,0.88722
TUPPOL,0.36481
TUPVEH,0.27178
TUPVIL,0.42572
TUPWOS,0.22788
TUQCUF,0.30559
TURLEZ,0.35133
TURLOJ,0.42627
TUTZEO,0.37478
TUXXIV,0.15155
TUXXOB,0.18271
TUYDAV,0.19974
TUYKEF,0.17146
TUYMEF,0.22393
TVINTP10,0.34732
UBAWIF,0.32795
UBUGAC,0.49225
UBUGEG,0.42053
UBUWAR,0.31315
UCOMOP,0.33221
UDIWUB,0.1131
UFECOA,0.26762
UFECUG,0.31059
UFESAA,0.26944
UFIPOP,0.34582
UFOBAT,0.08769
UFOBOH,0.08806
UFOBUN,0.08526
UFOCUO,0.08886
UFUVEZ,0.42698
UHOQAJ,0.22742
UHOXOF,0.2829
UHUCAB,0.11994
UJETUY,0.08143
UJIJUT,1.00231
UKAHIZ,0.19898
UKEVOX,0.24457
UKIDEZ,0.68928
UKUPAR,2.1859
UKUPEV,2.3252
UKUPIZ,0.35678
ULOMUF,0.28407
ULUZEI,0.27215
UMITAN,0.23331
UNEBEV,0.15307
UNUSUS,0.25906
UPUKIB,0.17616
UQABUL,0.33401
URANOS,0.19171
URIRIY,0.47144
URUJUO,0.20004
USOBEK,0.15543
UTALOS,0.201
UTORAX,0.27769
UTORIF01,0.30721
UTORUR,0.30155
UVADIF,0.16066
UVESOF,0.54103
UVEXID,0.28359
UVEYIE,0.18176
UVEYOK,0.56327
UVEZAX,0.22695
UVEZEB,0.2243
UVEZOL,0.2338
UVIBAD,0.23997
UVIBIL,0.22673
UVUGOI,0.30661
UXEZON,0.19817
UXEZUT,0.21161
UXIBAF,0.20321
UXIBEJ,0.20177
UXIBIN,0.20312
VADMUI,0.53005
VAGZIN,4.51606
VAGZOT,0.64308
VAKWIO,0.31091
VALVEK,0.24131
VALVIO,0.28398
VANRUA,0.19781
VARCUP,0.65703
VARMEI,0.35028
VARMIM,0.12736
VAVPUE,0.29174
VAWVOE,0.57342
VAZVID,0.28062
VEDXAF,0.30545
VEFGIY,0.13134
VEFVOR,0.23316
VEJQUW,0.49353
VELTIR,0.2049
VEMLIJ,0.58213
VENYEV,0.88933
VEPHEE,0.27139
VEQROZ,0.81546
VEVHEL,0.26297
VEWNES,0.34099
VEXHOY,0.34254
VEZDIP,0.71789
VEZDOV,0.34033
VIDXEN,0.59545
VIFSEI,0.04423
VIFYUF,0.14558
VIFZUG,0.191
VIGNIK,0.59615
VIGSEM,0.40425
VIKJIL,1.58878
VIKNEL,0.23717
VIKNOV,0.18737
VILDOM,0.49035
VIPPUH,0.42008
VIPQES,0.31567
VIPQIW,0.32783
VIQCAB02,0.33536
VIQJOX,0.2956
VISFIN,0.54069
VITAAC10,0.60786
VIWNIB,0.32668
VIXDOY,0.31431
VOBRUZ,0.38592
VOCWAO,0.22552
VOHYAT,0.70672
VOJJAG,0.43217
VOKQOE,0.31202
VOLCIL,0.15245
VOLCOR,0.18075
VORVEG,0.18955
VOSNIC,0.20843
VUCDIJ,0.22915
VUFSOF01,0.56329
VUGJOZ,0.37461
VUWJEF,0.27187
VUWTEM,2.63926
VUWZUI,0.17805
VUXYIY,0.13235
VUXZEV,0.22505
VUZZIC,2.90167
VUZZOI,0.46495
WAGZUA,0.35374
WAHBAJ,0.3869
WAMDAR,0.25968
WAPFUO,0.24263
WAWRER,2.07215
WAXDUW,0.31016
WAXFAE,0.25547
WEBBIQ,0.70082
WEBLUM,0.34472
WEBMAT,0.31414
WEDWUY,0.24228
WEFBOZ,0.73348
WEJCAP,0.37738
WEKVOA,0.30339
WELBIB,0.7453
WELZAO,0.4402
WENSEP,0.23109
WERSOE,0.27235
WERSUK,0.26559
WEVMUF,0.08254
WEWZUV,0.93305
WEXBAC,0.08199
WIBNAX,0.2974
WIBNEB,0.34039
WIJCEX,0.74313
WIJCIB,0.74454
WIKSUF,0.23005
WIMHAD,0.09307
WIMHEH,0.14086
WINYOH,0.25623
WINZAU,0.20442
WIPMEP,1.19784
WIQHIN,0.32546
WIQHOT,0.3424
WIQHUZ,0.34288
WIQJEL,0.31089
WIQJOX,0.56569
WISXOO,0.25549
WIVBOV,0.87566
WIVZOQ,0.20006
WIVZUW,0.22939
WIXPUP,0.2218
WIXQEA,0.26139
WIYMAT,0.36266
WOBJAY,0.7438
WOBJEC,0.7309
WOBJIG,0.73062
WOCQEN,0.29385
WOCQIR,0.29249
WODHUV,0.32833
WODKIK01,0.18588
WOJWIE,0.04573
WOMCUX,0.27954
WOMWOL,0.69683
WOPNIZ,0.42175
WOPPIB,0.92207
WOPTEC,0.74731
WOQLUM,0.13373
WOQMAT,0.13192
WORWUX,0.50681
WOYFAU,0.56014
WUBXEZ,0.36859
WUFTUM,0.24824
WUGHOV,0.39658
WUGNOC,1.55681
WUGXEC,0.26454
WULVAC,0.15604
WULVEF,0.40689
WULVEG,0.13619
WUMDAK,0.1956
WUNDOA,0.14394
WUQGOF,4.20817
WUQGUL,0.31226
WUTMEE,1.0993
WUVLUU,0.74554
WUWKEF,0.28674
WUWLEG,0.36715
WUWQOV,1.1524
WUXLUY,0.4274
XAJTOU,0.68413
XAKFAR,0.4089
XAPBUO,0.36959
XARQUE,0.82815
XARREP,0.68142
XASBOJ,1.22501
XASTUJ,0.13128
XATCIH,0.1476
XAVLEN,0.86499
XAVLIR,0.90602
XAVXEZ,0.63155
XAWRIZ,0.18463
XAYNAP,0.1465
XAZSOG,0.58612
XAZSUM,0.57976
XEBLEX,0.37907
XEBPAW,0.40319
XEFGAS,0.54018
XEHDAS,0.54144
XEHDEW,0.26295
XEHDIA,0.34274
XEJPOT,0.4774
XEKKUW,0.20689
XELLEF,0.13574
XELYET,1.04574
XELYUJ01,0.76214
XEPYAT,0.24031
XESREV,0.46658
XESYEA,0.28431
XETDOR,0.30111
XEVSAU,0.0518
XEWZAB01,0.30799
XEZJIW,0.38662
XIBTOS,0.22566
XIDTUZ,0.35584
XIHVUG,1.05623
XIHWAN,0.90512
XIHWER,1.1452
XIHWIV,3.60788
XIRJAL01,0.30665
XIRJEP02,0.27776
XISBOS,0.40377
XITTEA,0.29161
XIYLAU,0.26921
XIYZOV,0.34629
XOCCAU,0.43842
XODNEL,0.16857
XODZUN,0.29766
XOFPOZ,0.49595
XOFQAM,0.40603
XOGMUE,1.2268
XOSSAC,0.17026
XOTQOO,0.42578
XOWDOD,0.65403
XOXJID01,0.47193
XOXKIG,0.58722
XOXLAX,0.36539
XOXLED,0.78807
XOYXAM,0.51628
XUBCII,0.48117
XUFSOH,0.18368
XUGYUW,0.14916
XUNFIY,0.10515
XURBOC,0.14052
XUXNAH,0.39955
XUZWUM,0.41648
YABBAH,0.25837
YABDEO,0.19119
YABDIS,0.18938
YABDOY,0.19258
YACREZ01,0.15466
YAFDOB,0.4694
YAHGIZ,0.16002
YAHSIJ,0.5027
YAJSIO,0.23106
YAJSUA,0.38638
YAJTIP,0.39039
YAKHEA,0.22477
YAKHIE,0.35276
YAMLII,0.27346
YAMWUG,0.32848
YAMXEP,0.12457
YAMXER,0.31612
YAMXIT,0.11893
YAXGAH,0.60324
YAXYED,0.27606
YAYWIF,0.57881
YAZVIG,0.10523
YEGZEQ,0.13897
YEGZIW,0.2723
YELQIQ,1.21297
YEPQUG,0.20106
YEPRAN,0.19497
YEPREQ,0.27922
YEPRER,0.25432
YEWLOE,0.30034
YEYCAJ,0.30463
YEYQOJ,0.41539
YICHID,0.35343
YICZUH,0.21167
YIFNOT01,0.44035
YIGDUP,0.48874
YIGFAX,0.36271
YIHVIW01,0.62364
YIHVUI,0.54444
YIJGAC,0.63519
YIQJEQ,0.74225
YISFIP,0.26957
YIVQEA,0.29478
YIZCOC,0.15289
YIZZOZ,0.206
YOBBAV,0.22871
YOBBEZ,0.20861
YODGOQ,0.35722
YOFCUR,0.23941
YOGJOW,0.34456
YONJES,0.39949
YONJIW,0.41716
YOTPED,0.11698
YOXWEO,0.83843
YOYWIV,0.22862
YOYXOZ,0.34283
YOZLAD,0.13731
YUFGOY,0.96371
YUFVOL,0.74523
YUHMEW,0.65201
YUJQIG,0.3991
YUJXIN,0.38166
YULHEU,0.32675
YUMYEM,0.29465
YUNNAX,0.36347
YUNNEB,0.60249
YUPCAO,0.7097
YUQYEP,0.25192
YUSFUQ,0.36023
YUSGAX,0.37201
YUZXID,0.20199
ZAPRAL,0.72242
ZAQZUM01,6.43823
ZATQAO,0.45296
ZEDDIV,0.43857
ZEDDOB,0.51801
ZEFMOM,0.23056
ZENPIU,0.24265
ZEVYEH,0.12362
ZEVYIL,0.11317
ZEWYEI,0.12474
ZIBXIU,0.23506
ZIBXOA,0.74675
ZIBXUG,0.25345
ZIBYIV,0.21896
ZIBZES,0.22632
ZIBZIW,0.28106
ZICMUW,0.82727
ZIFPIP,0.14368
ZITTED,0.17611
ZIXDIT,0.18453
ZIYJEY,0.26487
ZODYUX01,0.25476
ZOHFEK,0.29376
ZOHSUN,0.41654
ZOHTAU,0.3852
ZOHTEY,0.29727
ZOKJIV,0.13102
ZOKJOB,0.10665
ZOKMEU,0.10801
ZOKMIY,0.18362
ZOKMOE,0.11935
ZOKTEB,0.1006
ZONDAJ,0.34147
ZORNUP,0.69905
ZOTTUZ,0.30275
ZOYKUW,0.3553
ZOYLAD,0.34957
ZOYLEH,0.35426
ZOYLIL,0.35914
ZOYLOR,0.34788
ZUCBUX,0.23183
ZUCDOT,0.27157
ZUGDOW,0.24208
ZUNBUI,0.14729
ZURJOO,0.45761
ZURJUU,0.39854
ZUVKUZ,0.48882
ZUVLAG,0.49689
ZUWFAB,0.03587
ZUXGAC,0.13246
ZUXGEG,0.16604
ZUXGIK,0.17595
ZZZFKK01,0.70898
ZZZQNK04,0.45562
ABUFAG,0.23085
ACEFEW,0.22613
ACOFUV,0.84372
ACOVAQ,0.4706
ACUKUG,0.27931
ACULAN,0.31086
ACULIV01,0.20317
ADAVIL,0.67416
ADEVUB,0.50464
AFAFIX,0.21704
AFOMAL,0.23669
AFOMOZ,0.55907
AFUSEB,0.40579
AFUXII,0.55933
AGAHAR,0.15104
AGAMON,0.22852
AGETUD,0.40317
AGIFEE,0.13522
AGIFII,0.092
AGIYAT,0.29634
AHADIY,0.37413
AHEPIO,0.21041
AHEYUI,0.22527
AHEZAP,0.18354
AHOFAH,0.63533
AHOZED,0.44091
AHUSIF,0.60564
AJAFAU,0.32015
AJAFEY,0.31795
AJETOB,0.25529
AJETUH,0.25561
AJIBIH,0.42185
AJIRUH,0.47501
AJIXEZ,0.29548
AKEFED,0.31853
AKEGII,0.32016
AKILIR,0.60154
AKILOX,0.54134
AKILUD,0.45917
AKOWII,0.65558
AMONUN,0.12542
ANEDEE,0.28551
APBTRN,0.29035
APOJOG,0.52949
AQAKAG,0.11627
ARARAO,0.29158
AROZAJ,0.11748
AROZIR,0.12357
ASIJIW,0.2799
ASISEA,0.40655
ATUDID,0.41074
ATUJEF,0.16055
AWEDAH,0.28327
AWEGAM,0.30658
AWEGEQ,0.31464
AXEFOZ,0.17373
AXICUF,0.26723
AXOTIS,0.27513
AXOXUI,0.61876
AXOYAP,0.59829
AXOYUJ,0.58811
AXUHAE,0.2193
AXUQIU,0.33901
AYUMOX,0.27022
AZMCTI,0.87773
BABCEQ,0.23928
BADLID,0.44671
BAFHEW,0.71455
BALYAR,0.71783
BAMCAV,0.21019
BAMLEJ,0.21473
BAMLIN,0.12818
BAMSAM,0.06524
BAMSEQ,0.04973
BAMSIU,0.06405
BAMTAN,0.04593
BAMTER,0.0504
BANWAP,0.86034
BANYAR,0.19115
BANYEV,0.35376
BAPNAH,0.10276
BAPSIX,0.24365
BAQPOZ,0.22127
BASWUP,0.26795
BATCAC,0.22638
BAVKOB,0.20224
BAVKUH,0.23643
BAYDAH,0.3507
BAZBIN,0.90952
BDMBFL,0.42362
BEFFAW,0.23269
BEFFEA,0.26474
BEFFIE,0.25275
BEFFOK,0.24112
BEFTAH,0.18749
BEGLUW,0.18543
BEHGAX,0.3698
BEHGEB,0.32415
BEHMUZ,0.5713
BEHZOF02,0.62185
BELMOU,0.75982
BELZIC,0.28961
BELZOI,0.24258
BEMGUY,0.22184
BERMES,0.36376
BESGUE,0.02498
BEVNEW,0.31767
BEVQOK,0.56762
BEXHET,0.56157
BEYNEY,0.65242
BIBDIB01,0.18452
BICNIN,0.32258
BICYAO,0.55433
BICYOC,0.53302
BIDVEP,0.55643
BIGGIH,0.13682
BIJFEG,0.42207
BILPET,0.33497
BILRUB10,0.13723
BINSUP,0.05336
BISYAG,0.33804
BISYEK,0.31802
BITLOH,0.38344
BIXKAX,0.86519
BIXNOL10,0.23863
BIXXOY,0.36515
BIYHAV,0.23177
BMRIZN,0.10015
BNPTZO,0.31778
BOCYEY,0.28906
BODNEN,0.24676
BOFCAC,0.27649
BOGWIE,0.43251
BOHMET,0.33066
BOHMIX,0.27429
BOHMOD,0.32387
BOMSAA,0.73393
BOMVEH,0.37188
BOMYOU,0.57262
BONPEA,0.21365
BOVWOB,0.27936
BOVWUH,0.19897
BOXGAW01,0.21425
BOZDEA,0.41532
BOZFIG,0.40635
BPCAMN,0.55071
BUCZUU,0.19719
BUFHUI,0.33721
BULGOH,0.31249
BUNCEV,0.22826
BUQQIQ,0.37432
BURGIG,0.35716
BUTMOU,0.74708
BUTZAU,0.42196
BUXXID,0.09408
BUXXOJ,0.07368
BUXXUP,0.07288
BUXYEA,0.06579
BUXYOI,0.21856
BYPOXO,0.78814
BZSCLC,0.22538
CABMID,0.3562
CACFAQ,0.3728
CACFEU,0.53166
CACFIY,0.52739
CACFOE,0.32995
CACGAR,0.59395
CACGEV,0.54978
CACGIZ,0.37673
CACTEI,0.36971
CAFSAG01,0.59263
CAFTEL,0.31066
CAFTIP,0.31585
CAGZOC,0.31424
CAJYOE,0.40141
CALDOK,0.33209
CALHUV,0.54166
CALJAD,0.66192
CALSOX,0.31414
CARZAY,0.11836
CARZIG,0.13152
CARZUS,0.1407
CEBTUA,0.34729
CEDKUU,0.26719
CEFFOJ,0.43771
CEGWES,0.73424
CEHMUY02,0.35658
CEJWUL,0.12633
CELPER,0.46735
CELQIV,0.28149
CEMRAQ,0.36563
CEPGIQ,0.44814
CEQWUT,0.22109
CESGUF,0.0658
CESHAM,0.07693
CETQOJ,0.67332
CETQUP,0.42249
CEWKOF,0.26248
CEWTAB,0.33677
CEWTEF,0.32765
CEXQUT,0.18523
CEYREF,0.18274
CEZHEX,0.51855
CIHPUH,0.51513
CIHWUO,0.50089
CIKLUD,0.24557
CIKNUG01,0.11276
CIMFAH,0.159
CIMKOB,0.242
CIMMUI03,0.05434
CINKOB,0.11728
CINLAO,0.22655
CINMOD,0.14518
CINMUJ,0.14911
CIPWIH,0.3776
CIRLEX,0.66885
CITPIF,0.29353
CIVMIF,0.29727
CIVNAZ,0.05697
CIVNON,0.04756
CIYCOF,0.14074
CIYDAS,0.13637
CIYSOT,0.27576
COFGOV,0.50201
COFYUT,0.35066
COFZAA,0.34927
COFZII,0.476
COFZOO,0.42466
COGGEN,0.15904
COHLIW,0.27438
COKLUL,0.15869
COKYEH,0.10731
COLXOS,0.04892
COLXUY,0.07928
COMFER,0.7045
COQBIV,0.21761
COQBOB,0.26394
COQBUH,0.18994
COQCAO,0.18767
CORWAK,0.26531
CORXAI10,0.23691
COSMAB,0.19839
COSMOP,0.20269
COTJUQ,0.22766
COVNEI,0.41329
COWGUR,0.34449
COXLIN,0.07066
COYLAG,0.32159
COYLUA,0.29224
COYMOV,0.2774
COYMUB,0.31534
CPATHP,0.43903
CPTYBN10,0.80847
CUCJIT,1.35278
CUCRIE,0.18816
CUFBOV01,0.05274
CUFDIQ,0.09076
CUFKOD,0.39549
CUFNIB,0.31004
CUGNEA,0.28716
CUHBIS,0.21258
CUNTUA,0.2262
CURNIN,0.33561
CURSIT,0.22615
CURSOZ,0.74756
CUZRAQ,0.37927
CYMHTP,0.23605
CYVINC,0.14676
CYVTPA,0.27635
DACYUD,0.29341
DADHID,0.35782
DADQIJ,0.41178
DAFMOO,0.89563
DAFMUU,0.51488
DAGYES,0.17806
DAHPUX,0.24205
DAJMIL,0.43126
DAKGIH,0.43469
DANDIF,0.444
DANJIO,0.55961
DANJOU,0.48325
DANJUA,0.40993
DAQQEU,0.19456
DATDOT,0.20829
DAVVOL,0.32293
DAWFUF,0.46803
DAWHUH,0.19927
DAWJAP,0.0816
DAWJOD,0.07857
DAXPIE,0.73511
DAYBIR,0.65924
DBPERY,0.29657
DEDCUN,0.19205
DEDDEY01,0.17682
DEDDIC01,0.18625
DEHFED,0.24459
DEJMEN,0.35661
DEJMIR,0.34118
DELXAU,0.27165
DEPJAK,0.40883
DEQZAD,0.4207
DETPAW,0.35263
DEVMUP,0.34062
DEVNAW,0.38135
DEWFIX,0.60651
DEWMOI,0.25154
DEXTEF,0.47487
DEYVOV,0.23268
DEZVEJ,0.34381
DIBTOY,0.20493
DIBVAN,0.42855
DIBVER,0.41997
DICLEG,0.22536
DICLIK,0.23148
DICLOQ,0.22717
DICMIL,0.22894
DICMOR,0.22725
DICMUX,0.22735
DICNAE,0.22656
DICNEI,0.22615
DICNIM01,0.22609
DICNOS,0.22641
DICNUY01,0.2267
DICPAG,0.22574
DICPEK,0.22646
DICPIO,0.2261
DIFQEP,0.27358
DIHVIC,0.32525
DIJKAL,0.23264
DIJLIS,0.34344
DILWUT,0.36424
DIMMAQ,0.67664
DIMVIH,0.14895
DIMVON,0.25227
DITLAV,0.18887
DITLEZ,0.18923
DIVGEV,0.48449
DIVGUL,0.24545
DIWKAX,0.62273
DIWTAG,0.56567
DIWVAI,0.36459
DIWVEM,0.30387
DIXKON,0.04929
DIXQAD,0.21585
DIXQEH,0.21246
DIXREK,0.3086
DIXXIU,0.31949
DIYQEK,0.07763
DIYQIO,0.10149
DIZVUF,0.14363
DMBTBT10,0.16781
DOBDEF,0.42545
DODXAY,0.44013
DODXOM,0.4047
DOGCEI,0.33729
DOGFOX,0.46756
DOGREY,0.32274
DOGVED,0.05196
DOHLOE,0.31606
DOJFIS,0.23979
DOKFUF,0.16499
DOLXUZ,0.28571
DOMFAM,0.29478
DOQMII,0.29286
DORPOR,0.30486
DORRUZ,0.33171
DOTCIA,0.20435
DOWSEQ,0.27674
DOXSUE,0.37985
DOYRUH,0.24228
DOZBOL,0.6692
DPMESN10,1.08389
DUGKEY,0.33579
DUJDAO,0.16166
DULMEF,0.32281
DUMYIV,0.54101
DUNKEE,0.31737
DUNLAC,0.28321
DUPFAW,0.74612
DUPHAX,0.21879
DURYOG,0.05993
DUSCEA,0.15146
DUSFOP,0.13067
DUSNUB,0.73901
DUSYAT,1.09701
DUSYEX,0.57448
DUTGIK,0.18361
DUVYAW,0.22725
EBASIM,0.20197
EBIGUR,0.27911
EBOJUD,0.21421
EBOPAN,0.34671
EBTVPH10,0.1528
EBUVUS,0.38075
EBUXEH,0.47368
ECAROQ,0.26508
ECARUW,0.4187
ECEGUP,0.13928
ECEHAW01,0.13621
ECENAD,0.20802
ECIMIO,0.27949
ECIQIQ,0.17258
EDAROT,0.22857
EDINIQ,0.49209
EDITIV,0.22338
EFALAB,0.54545
EFAQIO,0.41791
EFEMUZ,0.42354
EFMTPY,0.25307
EFUCIU,0.42951
EFUCUG,0.3596
EFUDAN,0.74096
EFUYUB,0.21879
EFUZEM,0.22087
EGAPEK,0.35522
EHAKEF,0.4797
EHAKIJ,0.32789
EHAKOP,0.2541
EHOROI,0.26078
EHULAW,0.22684
EJAHUT,0.25238
EJIYAZ,0.23564
EJIZEE,0.20638
EKUPUV,0.16717
EKUQAC,0.18
ELAYIB,0.94832
ELAYUN,0.94206
ELAZIC,0.95344
ELIPIA,0.16678
ELIPOG,0.19013
EMANOX,0.32555
EMANUD,0.20714
EMAPAL,0.18328
EMIHIR,0.37732
EMIHOX,0.35196
EMOPEB,0.33723
EMULAB,0.25403
EMUQIO,0.68095
ENIHAL,0.19164
ENIRAU,0.71911
ENOFAQ03,0.29197
ENUHUS,0.36374
ENVFUR,0.68422
EPABAA,0.28698
EQANIV,0.12605
EQIKOF,0.25509
ERISAA,0.46034
ERITAB,0.33242
ERITIJ,0.38791
ERIXIN,0.27406
ESEMUM,0.28864
ETPHFU,0.35034
EVAGUE,0.50683
EVEHUI,0.40299
EVENID,0.3754
EVINOM03,0.16763
EVULIQ,0.2972
EWILUT,0.40508
EWUMAL,0.18068
EYAHER,0.22372
EYANRO10,0.53467
EYESUY,0.3279
EYOSIU,0.18625
EYULOB,0.33702
EYUXEB02,1.21896
EZOCUT,0.69216
EZOPUF,0.35372
EZUFOW,0.50682
EZUGAJ,0.47486
EZUGIR,0.33523
EZUHIR,0.23297
EZUKIV,0.24897
EZUWED,0.38538
EZUWIH,0.16658
EZUWON,0.17925
EZUWUT,0.36949
FABFIA,0.31278
FACYOA,0.36503
FACZAN,0.35285
FADJEC,0.39499
FAJTOZ,0.14737
FAJXET,0.16862
FALBAY,0.2356
FALNAI,0.10198
FAMXEY,0.5848
FAPMOY,0.73383
FATRIE,0.3022
FAWTOP,0.28787
FAWVAD,0.31446
FAXGUJ,0.49457
FAXJIA,0.34715
FAXJOG,0.35494
FAXWOR,0.38489
FAYZEM,0.27575
FAZROO,0.34965
FAZSEF,0.22705
FEDPEK,0.22783
FEDPIO,0.22851
FEDPOU,0.22371
FEHROA,0.23283
FEHYID,0.11312
FEKDAC,0.49791
FEKYOM,0.37139
FEMJUD,0.33089
FEMKIS,0.48098
FEMPOE,0.19584
FEPZIM,0.82139
FEWFIX,0.2317
FICCOM,0.16078
FIDLEL,0.05672
FIGJOW01,0.17894
FIHZOO,0.34144
FIJBAE,0.42219
FIJQOG,0.41527
FINKUK,0.39603
FIPPIF,0.32272
FIQJEX,0.29146
FIRNAY,0.19306
FIRQIJ,0.36644
FISZUE,0.78254
FITCAP,0.04673
FITCET,0.05638
FITCIX,0.05166
FIVPAD,0.76436
FIVPEH,0.71999
FIVPIL,0.69155
FIVPUX,0.76443
FIZFOL,0.3961
FOBBUW,0.17188
FOBDAB,0.6152
FODJUG,0.17377
FODWAY,0.08471
FOGMIY,0.24738
FOJTOO,0.30895
FOKSEE,0.31439
FOLGUK,0.30344
FOMVEL,0.3776
FOMVIP,0.2995
FONTOT,0.41701
FONXAJ,0.24637
FOPDUM,0.27587
FOPHOK,0.05197
FOQLEE,0.71764
FOQZER,0.17693
FORPAF,0.25097
